Date,Open,High,Low,Close,Adj Close,Volume
2023-03-24,74.330002,75.180000,73.120003,74.250000,72.194214,2240800
2023-03-27,75.510002,76.919998,74.989998,76.419998,74.304138,1916400
2023-03-28,76.529999,77.510002,76.260002,76.760002,74.634727,1044000
2023-03-29,77.919998,78.400002,77.540001,77.910004,75.752884,1316800
2023-03-30,79.050003,79.339996,77.410004,77.760002,75.607040,1178900
2023-03-31,78.449997,80.730003,78.190002,80.580002,78.348961,1427700
2023-04-03,80.290001,80.610001,78.650002,79.440002,77.240524,1470300
2023-04-04,79.919998,79.930000,76.379997,77.129997,74.994476,1297600
2023-04-05,76.459999,76.589996,73.910004,74.470001,72.408134,1840500
2023-04-06,74.470001,74.550003,73.269997,74.290001,72.233116,1404000
2023-04-10,74.000000,77.480003,73.879997,77.470001,75.325066,1703800
2023-04-11,78.040001,79.209999,77.940002,78.699997,76.521004,1349700
2023-04-12,79.790001,80.000000,77.930000,78.110001,75.947350,1587200
2023-04-13,78.360001,79.629997,77.650002,79.279999,77.084953,1474400
2023-04-14,79.500000,81.290001,78.400002,79.419998,77.221077,1360300
2023-04-17,79.260002,80.000000,78.739998,79.650002,77.444717,922100
2023-04-18,80.120003,81.370003,79.860001,80.940002,78.698990,1325900
2023-04-19,80.000000,80.410004,79.410004,80.300003,78.076714,1076600
2023-04-20,79.639999,80.449997,78.660004,79.830002,77.619728,1237200
2023-04-21,80.309998,80.430000,79.059998,80.000000,77.785019,1059100
2023-04-24,80.580002,80.769997,79.059998,79.849998,77.639168,793600
2023-04-25,79.250000,79.739998,77.610001,77.660004,75.509811,929900
2023-04-26,77.470001,78.949997,76.879997,77.260002,75.120880,1080600
2023-04-27,78.559998,82.360001,78.449997,82.349998,80.069946,2220500
2023-04-28,82.690002,86.570000,82.449997,86.339996,83.949478,3090800
2023-05-01,86.440002,87.750000,86.379997,86.779999,84.377296,1840900
2023-05-02,86.750000,86.809998,84.440002,85.489998,83.123009,1885300
2023-05-03,85.980003,88.550003,85.650002,86.540001,84.143951,2005500
2023-05-04,88.250000,88.879997,84.629997,86.180000,83.793915,2673500
2023-05-05,87.360001,88.010002,84.559998,85.470001,83.103577,1874300
2023-05-08,85.470001,85.959999,83.110001,84.209999,81.878456,1566300
2023-05-09,83.260002,83.260002,81.419998,81.709999,79.447670,1700100
2023-05-10,83.110001,83.370003,79.589996,81.150002,78.903175,1618500
2023-05-11,80.650002,80.830002,79.400002,80.449997,78.222557,1269500
2023-05-12,80.870003,80.910004,77.190002,78.790001,76.608528,1797000
2023-05-15,78.910004,79.510002,78.459999,79.089996,76.900215,1429100
2023-05-16,77.360001,78.930000,76.290001,78.750000,76.569626,2080500
2023-05-17,78.949997,81.940002,78.879997,81.769997,79.506012,1481700
2023-05-18,81.709999,83.480003,81.019997,83.139999,80.838081,1457500
2023-05-19,83.750000,83.750000,80.889999,81.610001,79.350433,1253300
2023-05-22,81.589996,82.070000,80.750000,81.750000,79.486565,1169600
2023-05-23,81.010002,83.339996,80.370003,81.330002,79.078194,1409700
2023-05-24,81.150002,81.150002,78.910004,79.290001,77.094681,1094500
2023-05-25,79.760002,80.440002,76.940002,77.559998,75.412575,1237200
2023-05-26,77.769997,79.019997,76.410004,78.699997,76.521004,1253300
2023-05-30,79.250000,79.550003,77.279999,77.480003,75.334793,939000
2023-05-31,77.169998,77.809998,74.839996,74.970001,72.894287,3065700
2023-06-01,75.570000,76.690002,73.870003,76.139999,74.031891,2155700
2023-06-02,76.620003,80.889999,76.550003,80.730003,79.328316,1947500
2023-06-05,80.830002,81.389999,78.570000,79.300003,77.923141,1360700
2023-06-06,78.970001,82.029999,78.510002,81.940002,80.517303,1354200
2023-06-07,82.699997,87.660004,82.540001,86.910004,85.401009,2450400
2023-06-08,86.430000,87.139999,85.169998,86.330002,84.831078,1569300
2023-06-09,86.320000,86.440002,84.129997,84.599998,83.131119,1177800
2023-06-12,84.989998,86.750000,84.250000,85.309998,83.828781,1111800
2023-06-13,86.269997,89.800003,86.209999,88.959999,87.415413,2325700
2023-06-14,89.540001,90.930000,88.400002,89.089996,87.543159,2964100
2023-06-15,88.989998,92.129997,88.760002,91.480003,89.891663,2186800
2023-06-16,91.709999,92.050003,89.839996,90.900002,89.321732,2678500
2023-06-20,90.010002,90.160004,88.559998,89.379997,87.828117,1687600
2023-06-21,88.750000,90.059998,88.309998,88.580002,87.042015,1125500
2023-06-22,88.000000,88.099998,86.389999,87.199997,85.685966,989200
2023-06-23,86.400002,88.190002,86.110001,87.809998,86.285378,1390800
2023-06-26,87.800003,89.959999,87.559998,89.510002,87.955864,1024600
2023-06-27,89.769997,93.000000,89.169998,92.709999,91.100304,1735000
2023-06-28,93.230003,93.489998,91.449997,92.120003,90.520546,1088600
2023-06-29,91.849998,94.949997,91.750000,94.610001,92.967316,2119400
2023-06-30,95.279999,95.629997,93.629997,93.709999,92.082947,1652200
2023-07-03,93.129997,93.800003,92.050003,92.489998,90.884125,947200
2023-07-05,91.570000,91.919998,90.290001,90.500000,88.928680,1862900
2023-07-06,89.510002,89.709999,87.910004,89.339996,87.788811,1429600
2023-07-07,89.279999,91.440002,88.639999,90.180000,88.614227,1414500
2023-07-10,89.989998,93.669998,89.870003,93.669998,92.043633,1377900
2023-07-11,94.290001,97.550003,93.919998,97.220001,95.531998,2198400
2023-07-12,98.870003,99.150002,96.059998,96.080002,94.411789,1708600
2023-07-13,96.080002,97.730003,95.610001,96.709999,95.030853,1263900
2023-07-14,96.760002,97.050003,95.309998,96.339996,94.667274,972700
2023-07-17,95.940002,97.540001,95.370003,97.230003,95.541824,1110900
2023-07-18,97.300003,99.519997,97.239998,98.849998,97.133698,1581600
2023-07-19,98.709999,99.260002,97.529999,99.070000,97.349884,972100
2023-07-20,99.000000,99.000000,96.139999,97.589996,95.895576,1046700
2023-07-21,97.970001,98.050003,96.580002,97.129997,95.443565,892700
2023-07-24,97.000000,97.699997,95.919998,96.430000,94.755714,1332000
2023-07-25,96.230003,96.680000,95.559998,96.339996,94.667274,1782500
2023-07-26,95.849998,97.209999,95.720001,97.150002,95.463211,1802400
2023-07-27,98.139999,100.489998,97.529999,98.349998,96.642372,1968600
2023-07-28,99.779999,99.779999,97.459999,99.019997,97.300743,1568800
2023-07-31,99.389999,100.570000,98.550003,99.269997,97.546402,5472100
2023-08-01,99.989998,104.209999,96.050003,103.980003,102.174629,3599000
2023-08-02,102.620003,103.900002,101.029999,101.250000,99.492027,1722400
2023-08-03,100.900002,101.089996,98.040001,99.139999,97.418655,1301600
2023-08-04,99.720001,99.930000,98.110001,98.449997,96.740639,1022100
2023-08-07,98.550003,99.620003,98.209999,98.750000,97.035431,981900
2023-08-08,97.099998,97.889999,94.639999,97.389999,95.699051,1839500
2023-08-09,97.019997,98.449997,96.610001,96.970001,95.286339,694800
2023-08-10,97.220001,98.180000,94.970001,95.320000,93.664993,1188500
2023-08-11,93.650002,95.080002,92.900002,94.300003,92.662704,1288300
2023-08-14,93.760002,94.300003,93.019997,94.040001,92.407211,922600
2023-08-15,93.330002,93.839996,92.690002,93.019997,91.404915,737600
2023-08-16,92.849998,93.320000,91.209999,91.430000,89.842529,909700
2023-08-17,91.980003,92.239998,89.400002,89.489998,87.936211,1718000
2023-08-18,89.220001,90.919998,89.010002,89.720001,88.162216,1625700
2023-08-21,90.860001,91.449997,88.800003,89.650002,88.093430,1590100
2023-08-22,90.010002,90.730003,88.820000,89.459999,87.906731,1403500
2023-08-23,89.830002,91.500000,89.419998,91.239998,89.655830,811400
2023-08-24,90.739998,91.180000,89.349998,89.410004,87.857605,798000
2023-08-25,90.139999,90.500000,87.900002,89.220001,87.670906,973000
2023-08-28,89.870003,91.269997,89.870003,90.930000,89.351212,748100
2023-08-29,90.959999,93.540001,90.720001,93.339996,91.719360,836700
